MACA2	MacLaren River at Denali Hwy
MACF1	St. Marys River near Macclenny
MACG1	Ocmulgee River at Macon
MACK1	Rattlesnake Creek (KS) near Macksville
MALF1	Chipola River at Marianna (US 90)
MALM8	Milk River at Malta
MANN7	Little River at Manchester
MAPI4	Maple River at Mapleton
MAQI4	Maquoketa River near Maquoketa
MARM4	Kalamazoo River at Marshall
MARN7	French Broad River near Marshall
MASM1	Aroostook River at Masardis
MASM1ME	
MATA2	Matanuska River at Old Glenn Hwy
MATM1	Mattawamkeag River at Mattawamkeag
MATM1ME	
MAWN4	Ramapo River at Mahwah
MAWN4RMP	
MAXP1	Monongahela River at Maxwell Lock and Dam
MAYM3	Assabet River at Maynard
MAYM3MER	
MAYM5	South Fork Crow River near Mayer
MBCT2	Beaver Creek (Llano River Basin) near Mason
MBFT2	Trinity River near Moss Bluff
MBGO1	Great Miami River below Miamisburg
MBGW2	Opequon Creek near Martinsburg
MBGW2OQN	
MBLC2	Yampa River near Maybell
MCAA2	Montana Creek at Mendenhall Loop Bridge
MCAW3	Menominee River near Mcallister
MCCO1	Muskingum River at McConnelsville Old Lock 7
MCDA2	Chena River near Chena Lakes
MCET2	
MCGI4	Mississippi River at McGregor
MCGL1	Atchafalaya River at Morgan City
MCGT2	Middle Bosque River near McGregor
MCHI4	Maquoketa River at Manchester Hwy 20
MCKG1	Muckalee Creek near Leesburg (SR 195)
MCKN1	Driftwood Creek near McCook
MCKN6	Moose River at McKeever
MCKN6GRL	
MCKN7	South Fork Yadkin River near Mocksville
MCKT2	East Fork Trinity River at McKinney
MCLM4	N. Br. Clinton River near Mount Clemens
MCLM6	Leaf River near McLain
MCLU1	McLeod Creek near Park City
MCMO3	South Yamhill River at McMinnville
MCNM6	Noxubee River at Macon
MCPN4	Pequannock River at Macopin
MCPN4PQK	
MCRI2	Wabash River at Mount Carmel
MCWI4	Winnebago River (Northern IA) at Mason City
MDAN8	Little Missouri River at Medora
MDCU1	
MDKK1	Ninnescah River near Murdock
MDLF1	North Fork Black Creek near Middleburg
MDNN8	Heart River near Mandan
MDST2	Bedias Creek near Madisonville
MDTO1	Great Miami River at Middletown
MDVG1	Ogeechee River at Midville
MDYM8	Muddy Creek at Vaughn
MEDP1	French Creek at Meadville
MELO1	Ohio River at Meldahl Dam
MEMT1	Mississippi River at Memphis
MENN8	Apple Creek (ND) near Menoken
MERM1	Sandy River (ME) at Mercer
MERM1ME	
MFDM1	Piscataquis River at Medford
MFDM1ME	
MFDO3	Bear Creek at Medford
MFDP1	Tioga River at Mansfield
MFDP1TGA	
MFKA2	Koyukuk River near Wiseman
MFTC1	Middle Fork Feather River near Portola
MFVK2	Green River (KY) at Munfordville
MGMA1	Alabama River at Montgomery
MGMO2	Salt Fork of the Red River at Mangum
MGYA1	Tallapoosa River at Tallapoosa Water Plant
MGYP1	Ohio River at Montgomery Lock and Dam
MHBC1	Cosumnes River at Michigan Bar
MHKK1	Kansas River at Manhattan
MHPP1	Susquehanna River at Meshoppen
MHPP1SUQ	
MHSA2	Tanana River at Manley Hot Springs
MHSN2	Marys River above Hot Springs Creek nr Deeth
MIAM7	Missouri River at Miami
MIAO1	Great Miami River at Miamitown
MICM8	Tongue River at Miles City
MICN1	North Platte River near Mitchell
MIDM4	Tittabawassee River at Midland
MIDP1	at Middletown
MIDS2	Bad River (SD) near Midland
MIEI3	White River (IN) at Muncie
MILA1	Tallapoosa River at Milstead
MILI2	Sugar Creek  (E-IL) at Milford
MILM8	Yellowstone River at Miles City
MILN4	Passaic River near Millington
MILN4PSC	
MILO1	Huron River at Milan
MILW2	Shenandoah River at Millville
MILW2SHN	
MILW3	Crawfish River at Milford
MINN8	Souris River at Minot 4NW
MION8	Souris River at Minot-Broadway Bridge
MIWI4	Iowa River at Marshalltown
MKBK2	Licking River at McKinneysburg
MKCF1	Myakka River (FL) at Myakka River State Park
MKGO2	Arkansas River near Muskogee
MKHF1	Manatee River (FL) at Myakka Head
MKLK2	Ohio River at Markland Lower
MKLM5	Snake River (09020309) above Warren - MN (Morekassel Bridge)
MKRN1	Republican River at McCook
MKSM6	Coldwater River at Marks
MLAN5	Black River other Malaga
MLAT2	Sabine River near Mineola
MLBA4	Mulberry River (AR) near Mulberry
MLGF1	Yellow River (AL) at Milligan
MLGG1	Oconee River at Milledgeville
MLGN5	Pecos River other Malaga
MLGO1	Little Miami River at Milford
MLII2	Rock River at Moline
MLIT2	Pecan Bayou near Mullin
MLKW1	Mill Creek (WA) near Walla Walla
MLNF1	Big Coldwater Creek near Milton
MLNO1	Tuscarawas River at Massillon
MLPK2	Ohio River at McAlpine Lower
MLRM8	Big Hole River near Melrose
MLRT2	Llano River near Mason
MLUK2	Ohio River at McAlpine Upper
MLUL1	Ouachita River at Monroe
MLVL1	Atchafalaya River at Melville
MMDN6	Genesee River at Mount Morris Dam
MNBA2	at Mendenhall Loop Bridge
MNDA2	Mendenhall Lake at Lake Level
MNEL1	Bayou Dorcheat at Dixie Inn
MNGI2	Fox River at Montgomery
MNGN8	Knife River (ND) at Manning
MNJA1	Cahaba River at Marion Junction
MNKM5	Minnesota River at Mankato
