AANG1	Peachtree Creek at Atlanta
ABAT2	Hubbard Creek below Albany
ABBG1	Ocmulgee River at Abbeville
ABDM6	Buttahatchie River near Aberdeen
ABEM6	Tombigbee River at Aberdeen Lock and Dam
ABIK1	Smoky Hill River near Abilene
ABNG1	Flint River (GA) at Albany
ABOM8	Clark Fork River above Missoula
ABRN1	Little Nemaha River near Auburn
ABRN8	Wild Rice River (ND) at Abercrombie
ABTI3	East Fork Whitewater River at Abington
ABTT2	Barton Creek at Loop 360
ABYT2	Clear Fork Brazos River near Fort Griffin
ACDG1	Middle Oconee River near Arcade
ACIT1	Cumberland River at Ashland City
ACML1	Black River at Acme
ACMN5	Pecos River below Acme
ACMP1	Allegheny River at C.W. Bill Young Lock and Dam
ACRT2	Colorado River (TX) at Austin
ADAK1	Salt Creek (KS) near Ada
ADAM4	Grand River at Ada
ADLC2	Arkansas River at Avondale
ADRM4	River Raisin near Adrian
AERK1	Walnut Creek (KS) above Alexander 4W
AESI4	South Skunk River near Ames US 30
AEXL1	Red River at Alexandria
AFBI2	Fox River at Algonquin tailwater
AFTW3	Rock River at Afton
AGAK1	Walnut River at Augusta
AGNI4	East Fork Des Moines River near Algona
AGSI4	Skunk River at Augusta
AGSK1	Whitewater River (KS) at Augusta
AGYM7	Platte River near Agency
AKAM5	
AKDA4	Ouachita River at Arkadelphia
AKRI4	Big Sioux River at Akron
AKWI4	South River (South Central IA) near Ackworth
ALBK1	Walnut Creek (KS) at Albert
ALBW3	Sugar River at Albany
ALDN1	Wood River near Alda
ALDW2	Greenbrier River at Alderson
ALEC2	East River (CO) at Almont
ALEK1	Mud Creek (KS) at Abilene
ALGL1	Boeuf River near Alto
ALKA2	Alsek River at Walker Glacier
ALLA2	Koyukuk River at Allakaket
ALLM1	Allagash River above Allagash
ALLM1ME	
ALMK1	Little Arkansas River at Alta Mills
ALMM4	Pine River at Alma
ALMW3	Mississippi River at Alma
ALNP1	Jordan Creek at Allentown
ALNP1JDN	
ALOI4	Cedar River at Waterloo
ALOT2	Angelina River near Alto
ALPI3	West Fork Whitewater River near Alpine
ALSM4	Sturgeon River near Alston
ALSQ9	Alsek River above Bates River
ALTF1	Chipola River near Altha (CR 274)
ALTI4	Floyd River at Alton
ALTV2	Roanoke River at Altavista
ALVK2	Drakes Creek near Alvaton
ALVM5	Snake River (09020309) at Alvarado
ALXO2	Washita River at Alex
ALYM7	Jacks Fork at Alley Spring
AMAT2	Canadian River at Amarillo
